ARTNUM,ORIGINAL_ART_NO,MANUFACTURER,STOCK_QTY
70ct,JP-70CT001-00,GLANCETRON,116
70ctu,JP-70CTU01-01,GLANCETRON,21
8005-1,JO-8005001-00,JARLTECH,842
8005-u,JO-8005002-01,GLANCETRON,537
8070fuss,"JT-387 Z1TNR33-1461",METAPACE,0
8070key,Z1N260-313L/K,METAPACE,0
8070keys,8070keys,METAPACE,0
8070kit4,"JT-803 8070KIT4",METAPACE,0
8070kit8,"JT-846 8070KIT8",METAPACE,693
8070mount,K1-MT-B,METAPACE,158
8070rolle,Z1DR-19-B1,METAPACE,0
8070zaech,"38001153009100 + 18070081007539 CHF",INKIESS,0
8070zaecz,"JT-XXX 38001153009100 + 18070081007561",METAPACE,0
8070zaedk,"JT-XXX 38001153009100 + 18070081007508",METAPACE,0
8070zaehl,"3 8001 03 100 91 99",INKIESS,8
8070zaehu,"JT-XXX 38001153009100 + 18070081007564",METAPACE,0
8070zaeno,"JT-XXX 38001153009100 + 18070081007528",METAPACE,0
8070zaeru,"JT-XXX 38001153009100 + 18070081007575",METAPACE,0
8070zaese,"JT-XXX 38001153009100 + 18070081007530",INKIESS,0
8090kab5,EXTDRSW20,METAPACE,91
acab3mone,16400.247-0003,ANKER,0
ads4616-2,16500.226-0027,ANKER,0
ads4616base2,16500.016-0000,ANKER,0
ads4616casnew,16500.226-0020,ANKER,4
adsaus12v,08512.550-0020,ANKER,0
adsbasis,16101.185-0000,ANKER,32
adsbasis4,16101.151-0000,ANKER,0
adsbasis9,16101.256-6210,ANKER,0
adscabibm,16102.003-1000,ANKER,0
adscabibm2,16102.003-1005,ANKER,60
adsccb1,29102.042-0001,ANKER,0
adsccbr,29102.042-0000,ANKER,0
adsccc,16101.700-0001,ANKER,0
adsccc1,29102.047-0001,ANKER,0
adscccr,29102.047-0000,ANKER,2
adsceeur,29102.010-0000,ANKER,0
adscep,29102.020-0100,ANKER,0
adscetsp,29102.020-0200,ANKER,0
adscetstouch,29102.015-0000,ANKER,0
adscontrolu,42700.002-0000,ANKER,0
adscup2,08512.580-0020,ANKER,0
adscupeccset,16101.900-0000,ANKER,24
adscupeccset2,16101.901-0000,ANKER,0
adscupuccset,16400.385-0020,ANKER,8
adsecclg,16101.341-0150,ANKER,11
adseftpadb,15160.314-0521,ANKER,0
adseftpadb-2,15160.314-0522,ANKER,0
adseinsatz,08512.457-0020,ANKER,0
adseinsatz-9,29101.102-0907,ANKER,0
adseinsw2,16101.274-0520,ANKER,1
adseuro,16101.150-0150,ANKER,0
adseuronlsw,16101.276-0120,ANKER,0
adseurosw,16101.150-0120,ANKER,65
adseuroswmix,16101.150-0121,ANKER,29
adseuroswmix-2,16101.150-0151,ANKER,0
adsh5000,15100.435-0023,ANKER,0
adsict250,15100.435-0025,ANKER,0
adsipp350,15100.435-0021,ANKER,0
adskabel2,16102.001-1001,ANKER,0
adskabelsw,16102.001-1003,ANKER,0
adskabelsw2m,16102.001-1002,ANKER,0
adslade212,08512.620-0020,ANKER,0
adslade2cup,08512.571-0020,ANKER,0
adslade2ei,08512.435-0020,ANKER,14
adslade2ph,08512.621-0020,ANKER,0
adslade2wph,08512.621-0050,ANKER,17
adslade3,08512.623-0020,ANKER,33
adslock2,99019.165-1000,ANKER,19
adslockkey,99019.164-1001,ANKER,0
adsmag36v,09725.178-3100,ANKER,18
adsmdcab,29101.090-0020,ANKER,0
adsmds45,29101.053-0020,ANKER,0
adsmds45deck-2,29101.058-0020,ANKER,0
adsmdx13,29101.101-0020,ANKER,12
adsmdx13-2,29101.101-0080,ANKER,0
adsmdx13-3,29101.101-0320,ANKER,0
adsmdx16-2,29101.102-0320,ANKER,0
adsmdx16-3,29101.102-0025,ANKER,0
adsmdx1639deck-2,29101.102-0904,ANKER,8
adsmdx18,29101.103-0020,ANKER,0
adsmdx18-2,29101.103-0320,ANKER,0
adsmdx18mount,29101.103-0905,ANKER,0
adsmdx32,29101.023-0020,ANKER,0
adsmdx32deck,29101.028-0021,ANKER,0
adsmdx32deck-2,29101.028-0020,ANKER,4
adsmdx39,29101.013-0020,ANKER,2
adsmdz13,29101.210-0020,ANKER,0
adsmdz14,29101.220-0020,ANKER,0
adsmdz16,29101.230-0020,ANKER,0
adsmount2,29101.101-0906,ANKER,0
adsmx925,15100.432-0025,ANKER,1
adsnoteholds,08031.003-0020,ANKER,48
adsnoteholds-2,08031.003-0050,ANKER,19
adsnoteholdst,56100.050-0100,ANKER,79
adsopen,16101.420-0000,ANKER,0
adspluglock,99019.156-0000,ANKER,0
adsrelease,08512.551-0020,ANKER,0
adsrelease2,08512.562-0020,ANKER,0
adsrelease3,08512.855-0020,ANKER,0
adsreleasew,08512.551-0050,ANKER,0
adsrk10s,60100.060-0010,ANKER,0
adsrk10s-2,60100.060-0040,ANKER,0
adsrk10s-3,60100.060-0011,ANKER,0
adsrk10s-4,60100.060-0041,ANKER,0
adsrk10s-5,60100.060-0012,ANKER,0
adsrk10s-6,60100.060-0042,ANKER,0
adsrk10s-7,60100.060-0013,ANKER,0
adsrk10s-8,60100.060-0043,ANKER,0
adssccneo,16104.110-0155,ANKER,0
adssccneo-10,16104.321-0123,ANKER,0
adssccneo-11,16104.321-0150,ANKER,0
adssccneo-2,16104.110-0123,ANKER,0
adssccneo-3,16104.110-0121,ANKER,0
adssccneo-4,16104.400-0020,ANKER,0
adssccneo-5,16104.110-9120,ANKER,0
adssccneo-6,16104.110-0150,ANKER,0
adssccneo-7,16104.110-0120,ANKER,38
adssccneo-9,16104.321-0120,ANKER,0
adsscco,16101.221-0000,ANKER,0
adssco,58400.010-0070,ANKER,0
adssco2,58400.000-0070,ANKER,0
adssco3,58400.010-0030,ANKER,0
adssco4,58400.000-0030,ANKER,0
adsscostand,58500.001-0070,ANKER,0
adsstabase2,16101.277-5000,ANKER,0
adsstalid,16102.059-0020,ANKER,10
adsucc2,16400.502-0020,ANKER,0
adsucc24b,16400.507-0020,ANKER,0
adsucc3,16400.725-0020,ANKER,0
adsuccein,16400.350-0020,ANKER,0
adsuccein2,16400.350-0021,ANKER,0
adsuccsw,16400.700-0020,ANKER,0
adsucd,08512.500-0050,ANKER,0
adsucdlock,08512.497-0000,ANKER,0
adsvx820,15100.435-0022,ANKER,0
adsyomani,15100.435-0026,ANKER,0
adv96dlkeybrd-1,96DL-KW2122,ADVANTECH,0
adv96dlkeybrd-2,96DL-KW2119,ADVANTECH,0
adv96dlkeybrd-3,96DL-KG27606,ADVANTECH,0
advdlmtkt14,DL-MTKT014,ADVANTECH,0
advdlmtkt15,DL-MTKT015,ADVANTECH,0
advdlmtkt16,DL-MTKT016,ADVANTECH,0
advdltv73-10,DLV7310-2PQ110W00,ADVANTECH,33
advdltv73-12,DLV7312-2PQ110W00,ADVANTECH,3
advdltv73-121,DLV7312-9QH1G0W000,ADVANTECH,0
advdltv73-13,DLV7312-2PQ120WC0,ADVANTECH,2
advdltv73-14,DLV7310-2PQ120WC0,ADVANTECH,1
advdlv7310-5p,DLV7310-5PQ120WC0,ADVANTECH,0
advdlv7310ap,DLV7310-9PH1G0W000,ADVANTECH,0
advdlv7310r,DLV7310-2VQ110W00,ADVANTECH,0
advdlv7312ap,DLV7312-9PH1G0W000,ADVANTECH,0
advdlv7312p-2,DLV7312-2QQ110W00,ADVANTECH,0
advdlv7312p-3,DLV7312-4QQ110W00,ADVANTECH,0
advps90,96DL-FSP090-AAAN3,ADVANTECH,1
advram-003,DL-MTRM003,ADVANTECH,0
advram-004,DL-MTRM004,ADVANTECH,0
advutc100,UTC-115GP-WEU1F,ADVANTECH,2
advutc100-2,UTC-120GP-WEU1E,ADVANTECH,6
advutc100pb11e,UTC-100P-B11E,ADVANTECH,0
advutc100pc10e,UTC-100P-C10E,ADVANTECH,0
advutc100pf10e,UTC-100P-F10E,ADVANTECH,0
advutc100pl10e,UTC-100P-L10E,ADVANTECH,0
advutc100pm10e,UTC-100P-M10E,ADVANTECH,0
advutc100pr10e,UTC-100P-R10E,ADVANTECH,0
advutc100ps10e,UTC-100P-S10E,ADVANTECH,0
advutc100pt10e,UTC-100P-T10E,ADVANTECH,0
advutc110h,UBX-110H-BEU00,ADVANTECH,0
advutc110k,UBX-110K-BEU00,ADVANTECH,0
advutc110k-2,UBX-110K-BEU01,ADVANTECH,1
advutc115ip,UTC-115IP-WWW1F,ADVANTECH,0
advutc115kp,UTC-115KP-WWW1F,ADVANTECH,0
advutc115kp-2,UTC-115KP-WWF1F,ADVANTECH,7
advutc120ip,UTC-120IP-WWW1E,ADVANTECH,0
advutc120kp,UTC-120KP-WWW1E,ADVANTECH,11
advutc120kp-2,UTC-120KP-WWF1E,ADVANTECH,10
advutc12240,ARES-1204G-AR01101,ADVANTECH,0
advutc12250,ARES-12250-L101000,ADVANTECH,0
advutc124,UTC-124G1P-WWW1E,ADVANTECH,0
advutc124i1p,UTC-124I1P-WWW1E,ADVANTECH,0
advutc124kp,UTC-124KP-WWW1E,ADVANTECH,0
advutc124kp-2,UTC-124KP-WWF1E,ADVANTECH,0
advutc196011499,1960114996N000,ADVANTECH,0
advutc196011499-3,1960114995N000,ADVANTECH,0
advutc196011499-4,1960114993N001,ADVANTECH,0
advutc196011499-5,1960114994N001,ADVANTECH,0
advutc19z0002915n,19Z0002915N001,ADVANTECH,0
advutc210k,UBX-210K-BEU00,ADVANTECH,0
advutc210k-2,UBX-210K-BEU01,ADVANTECH,0
advutc2414x,ARES-2414X-S150201,ADVANTECH,0
advutc2424x,ARES-2424X-S170201,ADVANTECH,0
advutc2424xw,ARES-2424X-S170200,ADVANTECH,4
advutc2425x,ARES-2425X-S271001,ADVANTECH,0
advutc300p315,UTC-300P-D10E,ADVANTECH,0
advutc300p318,UTC-300P-D20E,ADVANTECH,0
advutc300pb61e,UTC-300P-B61E,ADVANTECH,0
advutc300pb71e,UTC-300P-B71E,ADVANTECH,0
advutc300pc21e,UTC-300P-C21E,ADVANTECH,0
advutc300pc71e,UTC-300P-C71E,ADVANTECH,0
advutc300pl70e,UTC-300P-L70E,ADVANTECH,0
advutc300pm21e,UTC-300P-M21E,ADVANTECH,0
advutc300pm71e,UTC-300P-M71E,ADVANTECH,0
advutc300pp71e,UTC-300P-P71E,ADVANTECH,0
advutc300pp72e,UTC-300P-P72E,ADVANTECH,0
advutc300pr21e,UTC-300P-R21E,ADVANTECH,0
advutc300pr71e,UTC-300P-R71E,ADVANTECH,0
advutc300ps21e,UTC-300P-S21E,ADVANTECH,0
advutc310jp,UTC-310JP-EUC0E,ADVANTECH,0
advutc315ip,UTC-315IP-EUC0E,ADVANTECH,0
advutc315kp,UTC-315KP-EUC0E,ADVANTECH,0
advutc318ip,UTC-318IP-EUC0E,ADVANTECH,0
advutc320ip,UTC-320IP-EUC0E,ADVANTECH,0
advutc510,UTC-510-STAND0E,ADVANTECH,0
advutc510jp,UTC-510JP-EUC0E,ADVANTECH,0
advutc510pb03e,UTC-510P-B03E,ADVANTECH,0
advutc510pf01e,UTC-510P-F01E,ADVANTECH,0
